plate	round	well	tile
1	1	A1	0
1	2	A1	0
1	1	A1	1
1	2	A1	1
1	1	A1	2
1	2	A1	2
1	1	A1	3
1	2	A1	3
1	1	A1	4
1	2	A1	4
1	1	A1	5
1	2	A1	5
1	1	A1	6
1	2	A1	6
1	1	A1	7
1	2	A1	7
1	1	A1	8
1	2	A1	8
1	1	A1	9
1	2	A1	9
1	1	A1	10
1	2	A1	10
1	1	A1	11
1	2	A1	11
1	1	A1	12
1	2	A1	12
1	1	A1	13
1	2	A1	13
1	1	A1	14
1	2	A1	14
1	1	A1	15
1	2	A1	15
1	1	A1	16
1	2	A1	16
1	1	A1	17
1	2	A1	17
1	1	A1	18
1	2	A1	18
1	1	A1	19
1	2	A1	19
1	1	A1	20
1	2	A1	20
1	1	A1	21
1	2	A1	21
1	1	A1	22
1	2	A1	22
1	1	A1	23
1	2	A1	23
1	1	A1	24
1	2	A1	24
1	1	A1	25
1	2	A1	25
1	1	A1	26
1	2	A1	26
1	1	A1	27
1	2	A1	27
1	1	A1	28
1	2	A1	28
1	1	A1	29
1	2	A1	29
1	1	A1	30
1	2	A1	30
1	1	A1	31
1	2	A1	31
1	1	A1	32
1	2	A1	32
1	1	A1	33
1	2	A1	33
1	1	A1	34
1	2	A1	34
1	1	A1	35
1	2	A1	35
1	1	A1	36
1	2	A1	36
1	1	A1	37
1	2	A1	37
1	1	A1	38
1	2	A1	38
1	1	A1	39
1	2	A1	39
1	1	A1	40
1	2	A1	40
1	1	A1	41
1	2	A1	41
1	1	A1	42
1	2	A1	42
1	1	A1	43
1	2	A1	43
1	1	A1	44
1	2	A1	44
1	1	A1	45
1	2	A1	45
1	1	A1	46
1	2	A1	46
1	1	A1	47
1	2	A1	47
1	1	A1	48
1	2	A1	48
1	1	A1	49
1	2	A1	49
1	1	A1	50
1	2	A1	50
1	1	A1	51
1	2	A1	51
1	1	A1	52
1	2	A1	52
1	1	A1	53
1	2	A1	53
1	1	A1	54
1	2	A1	54
1	1	A1	55
1	2	A1	55
1	1	A1	56
1	2	A1	56
1	1	A1	57
1	2	A1	57
1	1	A1	58
1	2	A1	58
1	1	A1	59
1	2	A1	59
1	1	A1	60
1	2	A1	60
1	1	A1	61
1	2	A1	61
1	1	A1	62
1	2	A1	62
1	1	A1	63
1	2	A1	63
1	1	A1	64
1	2	A1	64
1	1	A1	65
1	2	A1	65
1	1	A1	66
1	2	A1	66
1	1	A1	67
1	2	A1	67
1	1	A1	68
1	2	A1	68
